-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id             Marker lineage             # genomes   # markers   # marker sets    0     1    2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.67       o__Clostridiales (UID1212)          172         263           149         21   237   5    0    0    0       93.11            2.30              40.00          
  bin.52           k__Archaea (UID2)               207         149           107         10    49   48   34   6    2       93.07           93.93               6.80          
  bin.33       p__Bacteroidetes (UID2605)          350         316           210         28   285   3    0    0    0       90.29            1.11              33.33          
  bin.35          k__Bacteria (UID203)             5449        103            57         16    18   27   17   10   15      88.78           234.14             17.14          
  bin.72          k__Bacteria (UID203)             5449        103            57         30    19   23   22   6    3       87.85           132.25             21.88          
  bin.63        p__Euryarchaeota (UID3)            148         187           124         22   163   2    0    0    0       86.83            0.47              50.00          
  bin.2    c__Epsilonproteobacteria (UID3065)      111         445           271         82   337   26   0    0    0       85.38            6.40              15.38          
  bin.21          k__Bacteria (UID203)             5449        103            58         27    29   22   20   3    2       85.24           102.51             24.80          
  bin.6       f__Spirochaetaceae (UID2512)          56         235           124         23   210   2    0    0    0       85.16            0.40              100.00         
  bin.34         k__Bacteria (UID2495)             2993        141            87         17   117   6    1    0    0       84.92            1.88              22.22          
  bin.32      f__Rhodocyclaceae (UID3972)           30         540           241         58   456   22   4    0    0       84.09            4.83              17.65          
  bin.37      f__Spirochaetaceae (UID2535)          33         249           143         59   159   31   0    0    0       83.49           14.04              29.03          
  bin.11      f__Spirochaetaceae (UID2535)          33         249           143         71   177   1    0    0    0       82.40            0.70               0.00          
  bin.14       o__Clostridiales (UID1212)          172         263           149         51   207   5    0    0    0       81.79            1.41               0.00          
  bin.42        c__Clostridia (UID1118)            387         223           124         38   170   14   1    0    0       81.69            2.73              82.35          
  bin.61   c__Epsilonproteobacteria (UID3065)      111         445           271         95   340   10   0    0    0       80.01            2.95              70.00          
  bin.65       o__Clostridiales (UID1212)          172         263           149         64   182   17   0    0    0       79.13            7.36              52.94          
  bin.39       o__Bacteroidales (UID2716)           92         487           270         87   389   11   0    0    0       78.58            2.18              81.82          
  bin.46      f__Lachnospiraceae (UID1255)          90         354           174         78   254   20   2    0    0       76.82            7.33              26.92          
  bin.24      f__Lachnospiraceae (UID1286)          57         420           207        101   282   37   0    0    0       75.76           10.13              35.14          
  bin.50    c__Deltaproteobacteria (UID3217)        62         280           168         66   203   11   0    0    0       75.58            4.23              27.27          
  bin.45      f__Lachnospiraceae (UID1286)          57         420           207        126   287   7    0    0    0       74.41            1.16              42.86          
  bin.28       o__Clostridiales (UID1212)          172         263           149         76   185   2    0    0    0       73.93            1.01              100.00         
  bin.10      f__Spirochaetaceae (UID2512)          56         235           124         64   167   4    0    0    0       70.79            1.24              50.00          
  bin.73   c__Epsilonproteobacteria (UID3065)      111         445           271        137   298   10   0    0    0       66.72            0.27              60.00          
  bin.53       o__Clostridiales (UID1120)          304         247           141         87   126   30   4    0    0       65.81           13.20              26.19          
  bin.30       o__Clostridiales (UID1212)          172         263           149        115   117   30   1    0    0       64.21           15.04              18.18          
  bin.36      f__Lachnospiraceae (UID1286)          57         420           207        144   248   25   3    0    0       63.49            7.01              20.59          
  bin.9           k__Bacteria (UID203)             5449        104            58         48    41   9    4    0    2       62.07            8.31              29.27          
  bin.17       o__Clostridiales (UID1226)          155         278           158         96   162   20   0    0    0       59.99            7.27               5.00          
  bin.8           k__Bacteria (UID203)             5449        104            58         30    55   19   0    0    0       58.88            4.39              15.79          
  bin.48         k__Bacteria (UID2329)             174         149            89         69    68   11   1    0    0       58.64           10.03               7.14          
  bin.23      f__Spirochaetaceae (UID2535)          33         249           143        101   147   1    0    0    0       55.53            0.70               0.00          
  bin.68          k__Bacteria (UID203)             5449        103            57         59    24   15   5    0    0       53.91           30.78              23.33          
  bin.3        o__Clostridiales (UID1212)          172         263           149        115   148   0    0    0    0       53.46            0.00               0.00          
  bin.1        o__Clostridiales (UID1212)          172         263           149        142   108   13   0    0    0       51.14            3.74              38.46          
  bin.41      f__Lachnospiraceae (UID1286)          57         420           207        214   180   25   1    0    0       49.93            8.26              28.57          
  bin.49          k__Bacteria (UID203)             5449        103            58         68    31   4    0    0    0       49.31            6.90              75.00          
  bin.58      f__Lachnospiraceae (UID1286)          57         420           207        229   133   49   9    0    0       46.58           20.22              34.21          
  bin.71          k__Bacteria (UID203)             5449        104            58         52    41   9    2    0    0       44.37            5.02              13.33          
  bin.19    c__Deltaproteobacteria (UID3218)        61         284           169        156   122   6    0    0    0       42.40            0.70               0.00          
  bin.69         k__Bacteria (UID2495)             2993        143            89         71    65   7    0    0    0       42.35            2.76               0.00          
  bin.51           k__Archaea (UID2)               207         149           107         89    39   18   3    0    0       42.28           13.47               3.70          
  bin.29      f__Spirochaetaceae (UID2512)          56         235           124        131   102   2    0    0    0       41.98            0.85               0.00          
  bin.55      o__Selenomonadales (UID1024)          64         334           167        194   133   7    0    0    0       38.09            0.82              28.57          
  bin.31       p__Bacteroidetes (UID2605)          350         316           210        201   112   3    0    0    0       37.50            1.11              33.33          
  bin.70      f__Lachnospiraceae (UID1286)          57         420           207        285   125   10   0    0    0       31.17            2.27              20.00          
  bin.44      f__Lachnospiraceae (UID1286)          57         420           207        295   118   6    1    0    0       29.07            0.98              11.11          
  bin.13      f__Lachnospiraceae (UID1286)          57         420           207        293   116   11   0    0    0       28.73            1.90               0.00          
  bin.64          k__Bacteria (UID203)             5449        104            58         77    26   1    0    0    0       27.98            1.72              100.00         
  bin.47      o__Burkholderiales (UID4000)         193         427           214        291   135   1    0    0    0       25.32            0.06               0.00          
  bin.18    c__Betaproteobacteria (UID3888)        323         387           234        262   124   1    0    0    0       24.53            0.43               0.00          
