"","file","locus_tag","ftype","length_bp","gene","gene2","gene3","product","product2","product3"
"1","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00001","CDS",2196,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"2","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00041","CDS",624,"","","","hypothetical protein","outer membrane protein","outer membrane beta-barrel protein"
"3","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00046","CDS",456,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"4","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00047","CDS",450,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"5","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00063","CDS",495,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"6","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00071","CDS",585,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"7","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00072","CDS",345,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"8","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00073","CDS",234,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"9","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00074","CDS",114,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"10","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00102","CDS",405,"tarD","tarD","tarD","Glycerol-3-phosphate cytidylyltransferase","Glycerol-3-phosphate cytidylyltransferase","Glycerol-3-phosphate cytidylyltransferase"
"11","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00105","CDS",330,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"12","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00106","CDS",291,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"13","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00107","CDS",990,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"14","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00108","CDS",690,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
"15","131980_spades_pomoxis_polished_min2000.tsv","HKMHBKFO_00109","CDS",1197,"","","","hypothetical protein","hypothetical protein","hypothetical protein"
