"genome1","gene1","genome2","gene2","pident_nucl","palign_nucl"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00001","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01066","94.487","27.8567456710628"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00001","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01066","88.7485","27.0106089531826"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00001","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01066","88.769","22.711026181081"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00001","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01066","83.0305","21.8648894632008"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00002","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01065","96.923","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00003","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01064","96.394","98.9026063100137"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00004","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01063","96.226","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00005","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01062","96.367","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00006","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01061","97.368","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00007","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01060","97.393","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00008","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01059","97.595","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00009","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01058","97.764","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00010","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01057","98.238","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00011","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01056","97.426","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00012","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01055","99.005","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00013","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01054","91.502","100.304414003044"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00014","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01053","90.609","100.254452926209"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00015","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01052","97.778","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00016","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01051","97.595","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00017","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01050","97.394","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00018","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01049","96.285","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00019","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01048","99.01","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00020","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01047","97.251","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00021","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01046","97.052","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00022","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01045","98.154","99.931693989071"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00023","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01044","98.294","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00024","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01043","97.843","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00025","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01042","96.405","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00026","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01041","98.485","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00027","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01040","98.686","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00028","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01039","97.59","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00029","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01038","95.561","100.125786163522"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00030","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01037","97.139","100.215517241379"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00031","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01036","99.134","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00032","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01035","96.007","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00033","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01034","98.239","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00034","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01033","98.627","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00035","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01032","98.974","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00036","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01031","98.544","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00037","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01030","96.718","98.247403210576"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00038","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01029","96.97","100"
"131980_spades_pomoxis_polished_min2000","HKMHBKFO_00039","JMF18_spades_pomoxis_polished_min2000","KHAFFMAE_01028","98.131","100"
